driverId,week,hours-logged,miles-logged
13,14,64,2600
42,9,77,500
51,8,78,1400
98,1,71,500
71,25,63,800
40,4,51,0
25,30,80,700
91,26,62,3000
64,9,78,2700
74,9,54,3800
21,28,68,1000
42,51,54,2400
76,12,80,100
47,10,73,3600
105,11,76,400
53,35,65,1900
105,6,57,2600
63,20,77,3500
107,23,62,3100
35,28,57,1700
40,48,65,2600
28,49,61,1700
62,41,74,2000
66,24,70,2900
94,26,69,2900
12,34,74,2900
95,3,71,1400
12,14,54,1700
19,29,56,2500
25,43,63,700
31,30,64,2000
22,45,66,1400
48,35,77,2600
93,18,50,500
17,14,77,200
28,24,55,200
36,2,74,1000
108,41,77,2200
35,10,72,3700
67,32,61,2600
50,29,77,3700
32,14,52,2700
92,12,74,3500
78,32,71,2400
108,7,60,900
48,3,61,1500
48,40,71,2800
42,23,51,3600
28,51,68,2900
102,15,65,100
31,48,68,500
87,40,74,1900
69,14,61,200
77,33,60,2000
87,34,51,1900
41,28,58,500
40,3,54,1800
31,51,58,3900
81,30,56,3300
15,39,67,500
82,37,70,1300
25,47,52,100
85,48,69,100
89,6,58,1800
77,19,58,2700
107,46,71,100
40,5,64,300
55,3,50,0
47,20,52,300
55,47,56,2800
64,35,54,3300
99,5,77,2900
97,49,65,0
90,47,54,500
26,17,50,200
56,11,58,1300
103,44,57,2700
30,16,66,600
13,2,69,1000
80,42,56,1200
104,31,63,1400
26,51,50,3800
81,25,53,500
34,17,51,2700
32,29,51,3200
90,51,60,1700
24,50,78,2400
29,6,62,2600
28,18,60,2700
90,12,78,2800
95,51,61,2800
36,51,66,3400
18,12,61,400
14,48,63,2400
109,48,74,2600
102,25,75,2600
95,40,77,2600
71,40,76,2600
31,33,52,3200
55,23,75,0
67,30,65,3300
94,8,67,1500
24,34,58,2900
64,52,60,200
106,42,59,2200
20,30,59,1200
21,16,50,1000
67,15,75,3900
13,34,63,300
38,7,60,2200
79,7,57,0
32,12,64,1300
78,16,75,2000
91,1,77,2700
47,1,55,2200
81,33,69,200
105,39,53,200
25,44,78,2200
60,37,60,1500
76,29,52,100
55,17,79,2400
12,33,61,1300
81,36,55,300
23,13,56,2200
71,8,72,700
87,37,65,1500
37,11,64,2500
26,5,68,1200
16,42,75,1000
92,49,61,2500
75,48,60,800
88,16,65,1200
45,32,74,3100
28,30,76,400
16,52,72,1900
52,30,60,1300
86,29,61,200
98,30,76,3000
10,45,59,700
62,47,53,3700
27,14,56,900
84,48,52,100
87,1,63,400
21,4,77,900
102,14,52,700
41,34,51,3100
97,47,57,2400
102,51,78,500
57,32,76,1300
17,43,78,2100
80,46,72,1700
31,18,65,2800
77,8,56,3600
75,29,59,800
106,39,78,1700
38,7,79,2300
72,18,67,2500
75,43,68,2300
40,13,66,600
21,26,55,1900
29,16,50,2600
64,39,62,3900
94,3,69,2300
53,9,64,2700
13,22,59,2600
19,24,77,3700
56,43,67,1500
36,2,70,2500
73,2,55,1900
70,25,65,3900
103,49,72,3000
29,47,53,1200
47,43,66,1400
17,6,74,3300
47,10,76,2500
15,41,64,1300
10,19,56,1400
109,32,50,2800
68,46,65,1200
37,46,50,3900
109,51,52,2900
84,25,73,2400
12,6,73,1600
56,2,65,3500
88,14,70,1200
46,38,51,3500
62,3,77,3000
97,28,68,3100
13,2,78,200
35,30,52,1300
101,33,54,1000
48,41,62,2600
65,3,57,4000
39,2,77,1300
80,43,59,2000
48,14,61,2100
95,25,67,2700
14,30,50,3200
96,21,60,3600
85,29,56,700
59,21,54,3200
56,21,55,2500
80,5,65,2200
105,41,64,3100
86,51,69,1100
21,19,53,2700
12,40,58,3800
98,45,68,3200
108,18,55,1400
36,50,80,1000
72,33,70,800
100,10,59,2800
31,14,74,2300
85,49,79,2600
55,4,75,3000
44,17,60,3900
26,36,69,3800
18,38,52,4000
73,45,55,2800
86,31,75,3600
32,21,50,3300
62,9,65,1300
69,20,52,300
75,17,75,300
53,36,63,2700
104,30,72,3300
93,42,65,500
24,20,56,3400
80,6,78,1400
81,8,73,1500
55,31,75,3600
26,45,70,3500
64,33,80,1600
91,6,78,3100
95,10,69,3700
86,27,56,3200
13,29,60,0
79,2,64,800
89,41,73,3200
59,36,66,1400
37,32,58,2500
98,22,53,600
21,23,63,3200
106,16,58,3900
92,13,54,1700
31,6,73,400
46,22,79,1400
16,41,61,3800
108,37,79,500
16,37,72,900
98,34,80,1700
22,34,78,2700
104,36,78,2000
14,19,75,100
70,1,54,1800
104,13,58,3300
41,1,55,3500
43,2,67,3000
28,50,71,3900
72,22,63,2200
28,52,59,1700
37,14,68,500
27,42,55,2400
17,9,65,3600
15,36,61,2900
26,16,50,900
82,33,70,3300
13,15,59,2000
50,49,60,2100
60,34,80,2200
99,14,51,3300
10,4,56,2800
104,13,63,2000
69,40,71,1900
34,20,56,1300
108,11,72,3700
86,44,61,200
51,27,78,1300
40,28,74,300
63,19,58,1900
72,32,77,800
94,44,68,2000
93,28,61,3700
28,43,71,300
92,20,69,3900
11,20,65,3400
45,21,64,1700
43,2,68,2600
17,24,59,1600
77,20,77,3900
15,3,68,2400
10,1,80,2700
19,36,54,1600
11,48,56,2800
103,8,70,2800
18,32,51,800
101,13,73,2400
69,24,70,600
90,38,54,300
48,17,73,3500
16,25,76,1900
102,17,62,900
85,35,60,3800
22,9,63,600
53,15,63,1900
28,10,73,200
20,27,62,500
15,9,75,3900
14,31,62,800
67,43,66,3300
92,52,61,1300
78,9,70,1100
96,12,52,3100
11,50,57,4000
80,28,57,900
104,13,58,2600
45,3,56,2200
40,14,78,100
56,13,78,3300
24,17,67,3800
93,16,60,2600
59,40,78,2500
96,37,79,500
78,18,65,1600
18,16,78,1400
26,46,63,1600
78,51,75,1600
86,46,65,2700
86,15,52,2300
33,52,55,3600
69,21,58,1400
99,2,63,3300
93,12,72,1600
55,11,68,1800
104,7,71,3100
89,49,78,1200
70,37,51,4000
85,38,78,0
10,43,54,1600
23,24,80,1600
49,49,60,300
89,39,73,4000
87,50,76,3000
75,15,50,2200
45,23,75,200
66,3,61,2300
43,44,61,1000
62,39,54,3600
32,24,76,2800
69,42,59,3600
92,32,78,2400
45,5,70,2900
25,25,66,3900
84,4,69,3900
86,42,57,3300
25,21,61,1600
78,14,59,100
42,50,65,200
68,2,75,2800
42,33,79,2400
32,35,68,2900
100,41,50,1200
54,46,58,300
104,43,69,3700
83,32,68,3200
105,44,72,700
16,13,71,2000
50,42,56,200
109,11,75,3200
35,50,66,300
11,3,60,3500
31,39,76,2300
37,38,80,1000
54,48,66,2200
56,8,69,0
42,35,64,700
76,48,56,400
72,25,52,3700
10,14,79,300
45,26,72,200
67,36,67,1100
69,38,78,100
67,44,53,2100
39,50,70,2400
44,5,53,1800
18,43,56,1200
47,48,67,200
21,42,64,2700
104,23,65,500
68,13,78,2300
52,28,62,2200
13,33,50,2100
30,28,55,3300
53,21,67,900
41,36,50,1200
36,15,77,2000
26,19,52,2000
67,32,63,0
68,9,56,2600
70,39,54,3600
67,6,76,600
56,43,60,1500
58,9,66,2000
96,44,78,3500
60,37,64,700
23,47,57,2300
81,28,54,3800
107,14,72,3700
50,30,60,3600
76,27,75,200
36,14,74,1200
106,12,58,2200
66,43,56,2100
11,16,53,2600
66,20,60,1700
94,9,78,1700
97,41,58,4000
108,28,70,1200
69,31,74,2000
46,17,64,3000
49,3,53,1300
14,38,75,3300
102,30,78,300
78,31,71,4000
36,49,62,2400
44,14,71,1200
37,22,67,3700
61,37,74,3800
77,46,62,3400
